Year,Africa,Algeria,Argentina,Asia Pacific,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,CIS,Canada,Chile,China,Colombia,Croatia,Cyprus,Czechia,Denmark,Eastern Africa,Ecuador,Egypt,Estonia,Europe,European Union (27),Finland,France,Germany,Greece,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Middle Africa,Middle East,Morocco,Netherlands,New Zealand,Non-OECD,North Macedonia,Norway,OECD,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,Western Africa,World
2014,4548.219,584.926,857.358,56598.911,1452.054,250.162,152.86,310.569,295.486,533.522,2119.608,148.132,9196.351,2613.176,330.055,31016.611,340.319,68.669,27.295,370.311,152.882,369.818,155.794,918.55,71.619,17048.277,12208.109,186.295,1364.986,2963.166,269.919,317.34,185.942,10.068,7102.474,1866.727,2724.927,460.994,145.11,266.349,1414.443,4994.383,736.284,436.61,32.653,56.103,42.34,1054.517,1977.481,194.185,9332.004,206.634,920.421,156.482,77015.795,24.462,167.364,52026.864,317.484,674.586,204.231,347.637,1034.272,207.533,518.557,280.512,7073.828,2914.799,873.773,121.465,47.876,1397.38,2765.281,1094.092,62.835,192.473,160.375,1232.26,1359.512,229.1,1317.707,278.022,950.508,1120.753,1879.662,21938.522,545.817,764.821,556.586,472.81,129042.659
2015,4639.514,616.921,869.649,57321.884,1482.461,257.077,166.603,360.559,268.372,558.827,2048.681,158.935,9063.029,2618.042,332.723,31162.01,345.793,70.384,27.969,370.132,143.629,392.564,150.871,937.521,66.358,17164.007,12457.457,175.056,1392.826,2981.137,266.354,326.238,198.399,11,7354.275,1899.978,2715.925,461.272,151.662,280.265,1496.995,4852.058,738.173,448.484,33.563,58.345,40.873,1067.839,1984.575,194.921,9615.944,208.22,928.669,156.65,77879.172,24.006,170.26,51976.406,335.556,713.399,213.731,383.147,1039.331,220.026,590.978,279.727,6920.014,3005.572,929.042,124.462,48.026,1365.779,2792.908,1151.135,64.543,190.277,163.956,1245.828,1392.637,222.289,1376.938,332.801,756.462,1239.21,1845.155,21670.465,520.475,767.603,649.677,559.646,129855.578
2016,4772.723,616.097,869.584,58114.378,1475.03,262.875,164.056,366.685,266.757,565.718,1897.6,150.64,9145.871,2559.508,356.774,31337.769,364.983,72.108,30.471,371.28,146.851,390.062,142.904,986.487,66.825,17493.42,12680.054,185.022,1422.167,3062.104,260.587,334.839,203.326,12.187,7684.369,1889.729,2834.257,528.234,159.86,283.943,1507.982,4764.394,727.201,448.685,34.591,58.565,40.176,1111.047,2011.499,201.922,9873.811,210.017,944.668,155.387,79005.35,25.038,163.618,51990.885,336.231,777.473,232.788,421.035,1090.461,220.352,577.146,278.24,7044.67,3043.427,964.138,125.845,51.391,1418.602,2873.197,1143.499,74.195,195.602,158.405,1253.959,1418.37,197.219,1441.504,329.515,815.328,1288.531,1819.883,21430.829,494.588,675.334,691.114,577.487,130996.235
2017,4867.187,622.254,866.423,59524.733,1474.241,273.609,161.403,380.379,271.123,573.332,1934.09,158.779,9239.234,2590.731,348.094,32076.476,347.856,75.561,31.31,380.375,138.447,417.614,139.106,1016.422,72.124,17725.808,12918.211,175.444,1437.185,3065.36,277.986,359.015,215.911,13.438,7953.957,1972.015,2937.062,524.231,156.626,297.039,1541.388,4758.443,787.54,457.332,33.796,60.992,41.357,1111.513,2035.174,193.252,10002.541,220.636,923.7,163.154,80597.017,25.954,165.14,52301.168,361.19,830.007,227.308,464.794,1131.244,237.186,560.379,291.521,7080.981,3036.001,994.749,135.753,52.502,1404.277,2963.801,1207.518,79.085,194.096,161.515,1284.761,1432.944,209.272,1550.745,326.077,728.377,1290.801,1776.485,21329.38,493.231,664.262,695.766,621.182,132898.185
2018,4979.295,669.241,853.963,61165.497,1457.775,266.918,166.042,404.131,295.352,599.519,1861.256,149.139,9727.458,2660.589,354.145,32887.636,358.344,71.602,31.103,376.141,139.126,439.096,148.773,1029.799,75.889,17515.17,12748.915,180.483,1404.104,2951.882,272.355,361.375,217.951,14.441,8432.19,2128.485,3124.353,549.859,157.468,297.284,1525.037,4649.578,872.778,457.589,34.168,63.244,43.109,1126.611,2007.142,194.062,10057.438,223.895,917.862,159.83,82795.292,24.17,167.968,52969.47,380.784,856.65,238.586,479.42,1148.277,224.922,493.962,294.593,7375.774,2956.607,999.444,135.45,52.972,1354.714,3036.964,1191.57,78.402,186.876,155.098,1290.22,1448.662,198.081,1503.502,363.013,762.678,1272.011,1757.347,22224.139,517.669,545.357,824.193,692.816,135764.762
2019,5051.763,693.219,792.53,62204.409,1493.91,275.456,175.591,452.465,290.568,579.424,1873.529,145.296,9655.691,2682.728,363.47,33562.691,379.969,72.605,30.98,368.089,127.582,447.632,143.671,1024.059,54.664,17036.962,12382.04,169.646,1384.396,2805.828,289.293,344.42,217.87,12.404,8532.921,2266.607,3236.013,602.818,152.871,305.252,1494.494,4477.606,847.421,462.999,35.603,62.225,43.512,1155.18,1929.125,175.968,10287.197,243.248,901.096,167.769,84115.075,27.466,163.693,52015.734,386.247,850.364,239.752,499.041,1101.944,215.383,534.424,288.943,7299.508,2964.319,977.546,125.968,50.828,1380.084,2950.233,1151.993,85.291,197.403,158.492,1247.893,1436.945,197.426,1478.433,396.238,714.098,1254.31,1689.786,21957.297,517.489,421.022,979.427,706.283,136130.809
2020,4667.096,636.874,735.604,60742.138,1386.359,244.483,169.516,439.354,270.628,458.416,1761.672,129.402,9095.556,2447.421,337.197,34075.189,367.244,68.957,26.363,323.579,105.171,384.833,115.919,956.745,45.712,15263.994,11005.71,154.719,1204.267,2546.819,231.076,257.765,212.876,9.676,7973.217,1970.065,3271.443,565.998,135.672,276.995,1326.681,4118.781,829.469,418.184,30.819,61.347,35.38,1079.848,1605.615,160.237,9995.102,223.854,836.283,146.312,81532.352,24.657,157.278,47017.204,380.005,830.162,189.106,448.458,1035.48,180.815,475.199,277.245,6797.903,2930.92,946.475,117.221,44.176,1290.208,2770.071,957.042,75.662,182.772,135.976,1227.612,1334.098,173.245,1430.472,389.827,692.23,1146.237,1441.49,19915.511,503.348,322.325,942.366,665.082,128549.555
